ep_id,ep_name,season_nr,episode_nr,actor_name,gender,char_name
244855,Under the Gun,3,3,"Beghe, Jason",m,Mike Royce
244855,Under the Gun,3,3,"Dever, Seamus",m,Kevin Ryan
244855,Under the Gun,3,3,"Fillion, Nathan",m,Richard Castle
244855,Under the Gun,3,3,"Handy, James",m,Clifford Stuckey
244855,Under the Gun,3,3,"Huertas, Jon",m,Javier Esposito
244855,Under the Gun,3,3,"Krause, Brian",m,Father Aaron Low
244855,Under the Gun,3,3,"Robinson, Keith",m,Random Pierce
244855,Under the Gun,3,3,"Santiago-Hudson, Ruben",m,Captain Roy Montgomery
244855,Under the Gun,3,3,"Brown, Sophina",f,Brooke Carver
244855,Under the Gun,3,3,"Jones, Tamala",f,Lanie Parish
244855,Under the Gun,3,3,"Katic, Stana",f,Kate Beckett
244855,Under the Gun,3,3,"Quinn, Molly C.",f,Alexis Castle
244855,Under the Gun,3,3,"Sullivan, Susan",f,Martha Rodgers
244781,Home Is Where the Heart Stops,1,7,"Bauchau, Patrick",m,Caine Powell
244781,Home Is Where the Heart Stops,1,7,"Chinlund, Nick",m,Evan Mitchell
244781,Home Is Where the Heart Stops,1,7,"Dever, Seamus",m,Kevin Ryan
244781,Home Is Where the Heart Stops,1,7,"Fillion, Nathan",m,Richard Castle
244781,Home Is Where the Heart Stops,1,7,"Huertas, Jon",m,Javier Esposito
244781,Home Is Where the Heart Stops,1,7,"Papajohn, Michael",m,Karl Nadir
244781,Home Is Where the Heart Stops,1,7,"Phillips, Joseph C.",m,Mayor
244781,Home Is Where the Heart Stops,1,7,"Santiago-Hudson, Ruben",m,Captain Roy Montgomery
244781,Home Is Where the Heart Stops,1,7,"Van Wyck, Erik",m,Paul Reynolds
244781,Home Is Where the Heart Stops,1,7,"Bennett, Elizabeth Ann",f,Ruth
244781,Home Is Where the Heart Stops,1,7,"Jones, Tamala",f,Lanie Parish
244781,Home Is Where the Heart Stops,1,7,"Katic, Stana",f,Kate Beckett
244781,Home Is Where the Heart Stops,1,7,"Lowes, Katie",f,Rachel Maddox
244781,Home Is Where the Heart Stops,1,7,"Oh, Angela",f,Anne Greene
244781,Home Is Where the Heart Stops,1,7,"Quinn, Molly C.",f,Alexis Castle
244781,Home Is Where the Heart Stops,1,7,"Scorsone, Caterina",f,Joanne Delgado
244781,Home Is Where the Heart Stops,1,7,"Sullivan, Susan",f,Martha Rodgers
244798,Lucky Stiff,3,14,"Bellamy, Ned",m,Logan Meech
244798,Lucky Stiff,3,14,"Brewer, Chadney",m,Homeless Man
244798,Lucky Stiff,3,14,"Calderon, Wilmer",m,Marvin 'Oz' Osminkowski
244798,Lucky Stiff,3,14,"Collins, Skoti",m,Jay Hixton
244798,Lucky Stiff,3,14,"Dever, Seamus",m,Kevin Ryan
244798,Lucky Stiff,3,14,"Duncan, Alastair",m,Reginald Easley
244798,Lucky Stiff,3,14,"Fillion, Nathan",m,Richard Castle
244798,Lucky Stiff,3,14,"Giusti, Giovanni V.",m,Homeless John
244798,Lucky Stiff,3,14,"Hemphill, John",m,Tom Walters
244798,Lucky Stiff,3,14,"Huertas, Jon",m,Javier Esposito
244798,Lucky Stiff,3,14,"Jones, Brian",m,Ty Page
244798,Lucky Stiff,3,14,"Martinez, J. Salome",m,Todd Shipley
244798,Lucky Stiff,3,14,"Middlebrook, Keith",m,Nick
244798,Lucky Stiff,3,14,"Reegan, Joe",m,Shawn York
244798,Lucky Stiff,3,14,"Santiago-Hudson, Ruben",m,Captain Roy Montgomery
244798,Lucky Stiff,3,14,"Williams, Gregory Alan",m,Jim Van-Eps
244798,Lucky Stiff,3,14,"Wingate, Josh",m,Greg Page
244798,Lucky Stiff,3,14,"Carey, Clare",f,Noreen Hixton
244798,Lucky Stiff,3,14,"Jones, Tamala",f,Lanie Parish
244798,Lucky Stiff,3,14,"Katic, Stana",f,Kate Beckett
244798,Lucky Stiff,3,14,"Melvin, Rachel",f,Nicole Hixton
244798,Lucky Stiff,3,14,"Quinn, Molly C.",f,Alexis Castle
244798,Lucky Stiff,3,14,"Sullivan, Susan",f,Martha Rodgers
244756,Cuffed,4,10,"Carter, Brad",m,Bobby Spurlock
244756,Cuffed,4,10,"Dever, Seamus",m,Kevin Ryan
244756,Cuffed,4,10,"Fillion, Nathan",m,Richard Castle
244756,Cuffed,4,10,"Heames, Darin",m,Agent Chuck Martinez
244756,Cuffed,4,10,"Huertas, Jon",m,Javier Esposito
244756,Cuffed,4,10,"Jones, Brian David",m,State Trooper McNichols
244756,Cuffed,4,10,"Starr, Arne",m,Police Sketch Artist
244756,Cuffed,4,10,"Wagner, Brett",m,Jack Spurloch
244756,Cuffed,4,10,"Johnson, Penny",f,Captain Victoria Gates
244756,Cuffed,4,10,"Jones, Tamala",f,Lanie Parish
244756,Cuffed,4,10,"Katic, Stana",f,Kate Beckett
244756,Cuffed,4,10,"Quinn, Molly C.",f,Alexis Castle
244756,Cuffed,4,10,"Sullivan, Susan",f,Martha Rodgers
244756,Cuffed,4,10,"Van Valkenburgh, Deborah",f,Ruth Spurloch
244746,Almost Famous,3,7,"Anthony-Rodriguez, Philip",m,Michael Grant
244746,Almost Famous,3,7,"Cano, Leandro",m,Bouncer
244746,Almost Famous,3,7,"Dever, Seamus",m,Kevin Ryan
244746,Almost Famous,3,7,"Emery, Gideon",m,Lloyd Saunders
244746,Almost Famous,3,7,"Fillion, Nathan",m,Richard Castle
244746,Almost Famous,3,7,"Gibbons, Blake",m,Billy Grimm
244746,Almost Famous,3,7,"Gray, David Barry",m,Bert Kramer
244746,Almost Famous,3,7,"Huertas, Jon",m,Javier Esposito
244746,Almost Famous,3,7,"Hummel, Clint Glenn",m,Hans Von Mannschaft
244746,Almost Famous,3,7,"Khan, Mobin",m,Gas Station Shopkeeper
244746,Almost Famous,3,7,"Santiago-Hudson, Ruben",m,Captain Roy Montgomery
244746,Almost Famous,3,7,"Saunders, Corey",m,Derek Brookner
244746,Almost Famous,3,7,"DeMeo, Adriana",f,Bella Lombardo
244746,Almost Famous,3,7,"Doumit, Sam",f,Mandy Carson
244746,Almost Famous,3,7,"Frances, Dana",f,Bachelorette
244746,Almost Famous,3,7,"Graves, Tracey",f,Bachelorette
244746,Almost Famous,3,7,"Gunn, Kelsey",f,Sarah Lieberman
244746,Almost Famous,3,7,"Highsmith, Austin",f,Camille Roberts
244746,Almost Famous,3,7,"Jones, Tamala",f,Lanie Parish
244746,Almost Famous,3,7,"Katic, Stana",f,Kate Beckett
244746,Almost Famous,3,7,"Keller, Mary Page",f,Rebecca Dalton
244746,Almost Famous,3,7,"Morales, Simona",f,Bachelorette
244746,Almost Famous,3,7,"Quan, Samantha",f,Kathleen Park
244746,Almost Famous,3,7,"Quinn, Molly C.",f,Alexis Castle
