"name","role","season","episodeName","actorName","gender"
"1","Addison Smith","Killer",4,"Demons","Lehne, Fredric","m"
"2","Agnes Fields","Victim",4,"Cops and Robbers",NA,"f"
"3","Alex Peterman","Victim",2,"Tick, Tick, Tick...",NA,"m"
"4","Allison Tisdale","Victim",1,"Flowers For Your Grave","Jackson, Kym","f"
"5","Amber Middleberry","Victim",3,"Pretty Dead","Lynn, Stephanie","f"
"6","Amber Patinelli","Killer",3,"The Final Nail","Coppola, Alicia","f"
"7","Amir Alhabi","Victim",3,"Setup",NA,"m"
"8","Amy Kemp","Killer",4,"Til Death Do Us Part","Benson-Landes, Wendy","f"
"9","Amy Morgan","Victim",4,"Once Upon a Crime","Santefort, Lindsey","f"
"10","Angela Candela","Kidnap Victim",1,"Little Girl Lost",NA,"f"
"11","Antone Frances","Victim",2,"The Third Man","Caputo, Jay","m"
"12","Ashley Cosway","Victim",2,"The Double Down",NA,"f"
"13","Balthazar Wolf","Victim",2,"Food to Die For","Dobson, Ryan Daniel","m"
"14","Barbra Landau","Victim",4,"A Dance With Death",NA,"f"
"15","Ben Conrad","Victim",2,"Tick, Tick, Tick...","Patitucci, Nicholas","m"
"16","Ben Davidson","Killer",1,"A Chill Goes Through Her Veins","Smitrovich, Bill","m"
"17","Biggie Slim","Killer",4,"The Limey","Dorsey, Omar J.","m"
"18","Blake Wilder","Killer",2,"Overkill","Moses, William R.","m"
"19","Bobby Mann","Victim",2,"The Late Shaft","Bergeron, Tom","m"
"20","Bobby Spurlock","Killer",4,"Cuffed","Carter, Brad","m"
"21","Brady Thompson","Victim",2,"Kill the Messenger",NA,"m"
"22","Brandon","Killer",1,"Hedge Fund Homeboys","Funk, Nolan Gerard","m"
"23","Brian Hayes","Victim",4,"Eye of the Beholder","Stone, Steven","m"
"24","Brian Reilly","Killer",4,"Headhunters","McGrady, Michael","m"
"25","Brooke Carver","Killer",3,"Under the Gun","Brown, Sophina","f"
"26","Caleb Shimansky","Victim",2,"Kill the Messenger",NA,"m"
"27","Cano Vega","Victim",2,"Suicide Squeeze",NA,"m"
"28","Charles Kelvin","Attempted Murder Victim",3,"To Love and Die in L.A.","George, Jason","m"
"29","Charles Wyler","Conspirator",1,"A Chill Goes Through Her Veins","Whitfield, Charles Malik","m"
"30","Charlotte Boyd","Killer",4,"Once Upon a Crime","Markle, Meghan","f"
"31","Chloe Richardson","Killer",1,"Nanny McDead","Drew, Sarah","f"
"32","Chloe Whitman","Victim",3,"A Deadly Affair",NA,"f"
"33","Christian Dahl","Killer",3,"Poof Youre Dead","Cullen, Brett","m"
"34","Chuck Ryker","Victim",3,"Knockout","McTighe, Matt","m"
"35","Cole Maddox","Killer",4,"Always","Penikett, Tahmoh","m"
"36","Cole Maddox","Killer",4,"Dial M For Mayor",NA,"m"
"37","Conner Brandt","Kidnap Victim",4,"Cops and Robbers",NA,"m"
"38","Cynthia Dern aka Allison Goldman","Victim",1,"Ghosts",NA,"f"
"39","Cynthia Dern aka Allison Goldman","Attempted Murderer",1,"Ghosts",NA,"f"
"40","Cynthia Hamilton","Killer",4,"Head Case",NA,"f"
"41","Damian Westlake","Killer",3,"The Final Nail","Wiles, Jason","m"
"42","Damian Wilder","Victim",2,"Overkill",NA,"m"
"43","Daniel Goldstein","Victim",3,"Punked","Atchison, Billy","m"
"44","Danielle","Killer",2,"The Mistress Always Spanks Twice","Gumenick, Amy","f"
"45","Darcy Cho","Victim",1,"Always Buy Retail",NA,"f"
