Name,Role,Season,Episode Name
Allison Tisdale,Victim,1,Flowers For Your Grave
Marvin Fisk,Victim,1,Flowers For Your Grave
Kendra Pitney,Victim,1,Flowers For Your Grave
Harrison Tisdale,Killer,1,Flowers For Your Grave
Sara Manning,Victim,1,Nanny McDead
Chloe Richardson,Killer,1,Nanny McDead
Donny,Victim,1,Hedge Fund Homeboys
Max Heller,Victim,1,Hedge Fund Homeboys
Brandon,Killer,1,Hedge Fund Homeboys
Jeff Horn,Victim,1,Hell Hath No Fury
Frank Nesbit,Killer,1,Hell Hath No Fury
Laurie Horn,Conspirator,1,Hell Hath No Fury
Melanie Cavanagh,Victim,1,A Chill Goes Through Her Veins
Samuel Cavanagh,Victim,1,A Chill Goes Through Her Veins
Samuel Cavanagh,Killer,1,A Chill Goes Through Her Veins
Charles Wyler,Conspirator,1,A Chill Goes Through Her Veins
Ben Davidson,Killer,1,A Chill Goes Through Her Veins
Jamal Buonsi,Victim,1,Always Buy Retail
Darcy Cho,Victim,1,Always Buy Retail
Mukhta Baylor,Killer,1,Always Buy Retail
Susan Delgado,Victim,1,Home Is Where the Heart Stops
Richard Pastori,Victim,1,Home Is Where the Heart Stops
Karl Nadir,Killer,1,Home Is Where the Heart Stops
Cynthia Dern aka Allison Goldman,Victim,1,Ghosts
Susan Mailer,Victim,1,Ghosts
Cynthia Dern aka Allison Goldman,Attempted Murderer,1,Ghosts
Susan Mailer,Killer,1,Ghosts
Angela Candela,Kidnap Victim,1,Little Girl Lost
Theresa Candela,Kidnapper,1,Little Girl Lost
Nina Mendola,Kidnapper,1,Little Girl Lost
Joshua Leeds aka Dr. Joshua Leeds,Victim,1,A Death in the Family
Jimmy Moran,Attempted Murder Victim,1,A Death in the Family
Maggie Dowd,Killer,1,A Death in the Family
John Allen,Victim,2,Deep in Death
Unnamed Tattooed Russian,Killer,2,Deep in Death
Ashley Cosway,Victim,2,The Double Down
Frank Anderson,Victim,2,The Double Down
Eric Marx,Killer,2,The Double Down
Jason Cosway,Killer,2,The Double Down
Jenna McBoyd,Victim,2,Inventing the Girl
Travis McBoyd,Killer,2,Inventing the Girl
Steven Fletcher,Victim,2,Fool Me Once…
Sue Vaughn,Killer,2,Fool Me Once…
Eliška Sokol,Victim,2,When the Bough Breaks
Dr. Cameron Talbot,Killer,2,When the Bough Breaks
Matthew Freeman aka Crow,Victim,2,Vampire Weekend
Jonas Westfall aka Daemon,Victim,2,Vampire Weekend
Elizabeth Dryden,Victim,2,Vampire Weekend
Janice Freeman,Killer,2,Vampire Weekend
Hayley Blue aka Hayley Maria Blue,Victim,2,Famous Last Words
Ian Busch,Killer,2,Famous Last Words
Caleb Shimansky,Victim,2,Kill the Messenger
Brady Thompson,Victim,2,Kill the Messenger
Olivia Debiasse,Victim,2,Kill the Messenger
Frank Davis,Killer,2,Kill the Messenger
Prison Guard Patterson,Conspirator,2,Kill the Messenger
Lenanne Wellesley,Conspirator,2,Kill the Messenger
Jack Buckley,Victim,2,Love Me Dead
John Knox,Victim,2,Love Me Dead
John Knox,Killer,2,Love Me Dead
Scarlett Price,Killer,2,Love Me Dead
Sam Parker aka Jack Holland,Victim,2,One Man's Treasure
Lance Carlberg,Killer,2,One Man's Treasure
Victor Fink,Victim,2,The Fifth Bullet
Jeremy Prestwick,Attempted Murder Victim,2,The Fifth Bullet
George Heller aka Darius Langley,Killer,2,The Fifth Bullet
Sophie Ronson,Victim,2,A Rose for Everafter
Ted Murphy,Killer,2,A Rose for Everafter
Jack Coonan,Victim,2,Sucker Punch
Dick Coonan,Killer,2,Sucker Punch
Douglass Bishop,Victim,2,The Third Man
Antone Frances,Victim,2,The Third Man
Stan Kopek,Killer,2,The Third Man
Cano Vega,Victim,2,Suicide Squeeze
"Robert Fox aka Robert ""Bobby"" Fox",Killer,2,Suicide Squeeze
Jessica Margolis,Victim,2,The Mistress Always Spanks Twice
Danielle,Killer,2,The Mistress Always Spanks Twice
Alex Peterman,Victim,2,"Tick, Tick, Tick..."
Michelle Lewis,Victim,2,"Tick, Tick, Tick..."
Sandra Keller,Victim,2,"Tick, Tick, Tick..."
Ben Conrad,Victim,2,"Tick, Tick, Tick..."
Gloria Rodriguez,Victim,2,Boom! (Part 2)
Kate Beckett,Attempted Murder Victim,2,Boom! (Part 2)
Jordan Shaw,Attempted Murder Victim,2,Boom! (Part 2)
Scott Dunn,Killer,2,Boom! (Part 2)
Will Medina,Victim,2,Wrapped Up in Death
Nicole Graham,Victim,2,Wrapped Up in Death
Stanford Raynes aka Dr. Stanford Raynes,Killer,2,Wrapped Up in Death
Bobby Mann,Victim,2,The Late Shaft
Hank McPhee,Killer,2,The Late Shaft
Paul Finch,Victim,2,Den of Thieves
Javier Esposito,Attempted Murder Victim,2,Den of Thieves
Ike Thornton,Attempted Murder Victim,2,Den of Thieves
Stan Holliwell,Killer,2,Den of Thieves
Victor Racine,Killer,2,Den of Thieves
Balthazar Wolf,Victim,2,Food to Die For
David Nicolaides,Killer,2,Food to Die For
Damian Wilder,Victim,2,Overkill
Rebecca Strong,Victim,2,Overkill
Lisa Jenkins,Killer,2,Overkill
Blake Wilder,Killer,2,Overkill
Roger Farraday,Victim,2,A Deadly Game
Ken Fisher,Killer,2,A Deadly Game
Chloe Whitman,Victim,3,A Deadly Affair
Maya Santori,Victim,3,A Deadly Affair
Todd McCutcheon,Victim,3,A Deadly Affair
Kitty Canary,Killer,3,A Deadly Affair
Earl Moreland,Killer,3,A Deadly Affair
Vivian Marchand,Victim,3,"He's Dead, She's Dead"
Emillio Casillas,Victim,3,"He's Dead, She's Dead"
Paula Casillas,Killer,3,"He's Dead, She's Dead"
Deon Carver,Victim,3,Under the Gun
Brooke Carver,Killer,3,Under the Gun
Daniel Goldstein,Victim,3,Punked
Troy Kenworth,Killer,3,Punked
Valerie Monroe aka Dr Valerie Monroe,Victim,3,Anatomy of a Murder
Manuel Calderon,Killer,3,Anatomy of a Murder
Linda Russo,Victim,3,3XK
Kim Foster,Victim,3,3XK
Donna Gallagher,Attempted Murder Victim,3,3XK
Marcus Gates,Killer,3,3XK
Jerry Tyson,Killer,3,3XK
Derek Brookner,Victim,3,Almost Famous
Michael Grant,Killer,3,Almost Famous
"Len Levitt aka Leonard ""Len"" Levitt",Victim,3,Murder Most Fowl
Tyler Donegal,Kidnap Victim,3,Murder Most Fowl
Robert Kincaid,Killer,3,Murder Most Fowl
Unnamed Man 1,Killer,3,Murder Most Fowl
Unnamed Man 2,Killer,3,Murder Most Fowl
Marie Subbarao,Victim,3,Close Encounters of the Murderous Kind
Chuck Vaughn aka Dr. Chuck Vaughn,Killer,3,Close Encounters of the Murderous Kind
Ung Kyu,Killer,3,Close Encounters of the Murderous Kind
"Donny Hayes aka Donald ""Donny"" Hayes",Victim,3,Last Call
Steven Heisler,Killer,3,Last Call
Stacey Collins,Victim,3,Nikki Heat
Scott Donner,Killer,3,Nikki Heat
Zalman Drake,Victim,3,Poof Youre Dead
Christian Dahl,Killer,3,Poof Youre Dead
John Raglan,Victim,3,Knockdown
Jolene Granger,Victim,3,Knockdown
Johanna Beckett,Victim,3,Knockdown
Diane Cavanaugh,Victim,3,Knockdown
Scott Murray,Victim,3,Knockdown
Jennifer Stewart,Victim,3,Knockdown
Hal Lockwood,Killer,3,Knockdown
Dick Coonan,Killer,3,Knockdown
Jay Hixton,Victim,3,Lucky Stiff
Greg Page,Attempted Murder Victim,3,Lucky Stiff
Shawn York,Killer,3,Lucky Stiff
"Marvin ""Oz"" Osminkowski",Killer,3,Lucky Stiff
"Victoria Westlake aka Victoria ""Vicky"" Westlake",Victim,3,The Final Nail
Philip Westlake,Victim,3,The Final Nail
Amber Patinelli,Killer,3,The Final Nail
Damian Westlake,Killer,3,The Final Nail
Amir Alhabi,Victim,3,Setup
Jamal Alhabi,Victim,3,Setup
Unknown,Killer,3,Setup
DHS Technician,Victim,3,Countdown
Nazihah Alhabi,Kidnap Victim,3,Countdown
Radford Hayes,Killer,3,Countdown
Evan Bauer,Killer,3,Countdown
Jack Cochran,Killer,3,Countdown
Sara Cutler,Victim,3,One Life to Lose
Reese Harmon,Killer,3,One Life to Lose
Joe McUsic,Victim,3,Law & Murder
Stephen Addison,Killer,3,Law & Murder
Lou Karnacki,Conspirator,3,Law & Murder
Gordon Burns,Victim,3,Slice of Death
Nina Burns,Victim,3,Slice of Death
Monica Wyatt,Killer,3,Slice of Death
Harley Romero,Killer,3,Slice of Death
Zach Lindsey,Victim,3,The Dead Pool
"Rob Tredwyck aka Rob ""The Rocket"" Tredwyck",Killer,3,The Dead Pool
Mike Royce,Victim,3,To Love and Die in L.A.
Violet Young,Attempted Murder Victim,3,To Love and Die in L.A.
Charles Kelvin,Attempted Murder Victim,3,To Love and Die in L.A.
Russell Ganz,Killer,3,To Love and Die in L.A.
Donald Mannis,Killer,3,To Love and Die in L.A.
Amber Middleberry,Victim,3,Pretty Dead
Jeremy Keiper,Victim,3,Pretty Dead
Justin Hankel,Killer,3,Pretty Dead
Gary McCallister,Victim,3,Knockout
Chuck Ryker,Victim,3,Knockout
Roy Montgomery,Victim,3,Knockout
Hal Lockwood,Victim,3,Knockout
Kate Beckett,Attempted Murder Victim,3,Knockout
Hal Lockwood,Killer,3,Knockout
Roy Montgomery,Killer,3,Knockout
Sonia Gilbert,Victim,4,Rise
Mitch Yancey,Killer,4,Rise
Tyler Faris,Victim,4,Heroes and Villains
"Tony Valtini aka Tony ""The Butcher"" Valtini",Killer,4,Heroes and Villains
Lester Hamilton aka Dr. Lester Hamilton,Victim,4,Head Case
Cynthia Hamilton,Killer,4,Head Case
Jane Herzfeld,Victim,4,Kick the Ballistics
Philip Lee,Killer,4,Kick the Ballistics
Brian Hayes,Victim,4,Eye of the Beholder
Joy McHugh,Killer,4,Eye of the Beholder
Jack Sinclair,Victim,4,Demons
Matt Benton,Victim,4,Demons
Melanie Benton,Victim,4,Demons
Addison Smith,Killer,4,Demons
Agnes Fields,Victim,4,Cops and Robbers
Trapper John,Victim,4,Cops and Robbers
Dr. Howser,Victim,4,Cops and Robbers
Dr. Huxtable,Victim,4,Cops and Robbers
Dr. Quinn,Victim,4,Cops and Robbers
Tanya Brandt,Assalt Victim,4,Cops and Robbers
Conner Brandt,Kidnap Victim,4,Cops and Robbers
Richard Castle,Hostage,4,Cops and Robbers
Martha Rodgers,Hostage,4,Cops and Robbers
Simone,Hostage,4,Cops and Robbers
Several Other Civilians,Hostage,4,Cops and Robbers
Ron Brandt aka Sal Martino,Killer,4,Cops and Robbers
Sam Siegel,Victim,4,Heartbreak Hotel
Rebecca Siegel,Killer,4,Heartbreak Hotel
Sarah Vasquez,Victim,4,Kill Shot
Henry Wyatt,Victim,4,Kill Shot
Emily Reese,Attempted Murder Victim,4,Kill Shot
Western High School Track Team,Attempted Murder Victim,4,Kill Shot
Kate Beckett,Attempted Murder Victim,4,Kill Shot
Lee Travis,Killer,4,Kill Shot
Hank Spooner,Victim,4,Cuffed
Ruth Spurlock,Killer,4,Cuffed
Bobby Spurlock,Killer,4,Cuffed
Jack Spurlock,Killer,4,Cuffed
Michael Bailey aka Jake Hendricks,Victim,4,Til Death Do Us Part
Amy Kemp,Killer,4,Til Death Do Us Part
Laura Cambridge,Victim,4,Dial M For Mayor
Cole Maddox,Killer,4,Dial M For Mayor
Francisco Pilar,Victim,4,An Embarrassment of Bitches
Reggie Starr,Killer,4,An Embarrassment of Bitches
Stan Banks,Victim,4,The Blue Butterfly
Sally Campbell,Victim,4,The Blue Butterfly
Lenny,Victim,4,The Blue Butterfly
Frankie,Killer,4,The Blue Butterfly
Viola Maddox aka Vera Mulqueen,Killer,4,The Blue Butterfly
Sally Campbell,Killer,4,The Blue Butterfly
Gary Harper,Victim,4,Pandora (Part 1)
Tracey McGrath,Victim,4,Pandora (Part 1)
Nelson Blakely,Victim,4,Pandora (Part 1)
Thomas Gage,Killer,4,Pandora (Part 1)
Unknown Killer,Killer,4,Pandora (Part 1)
Thomas Gage,Victim,4,Linchpin (Part 2)
Sophia Turner,Victim,4,Linchpin (Part 2)
Mia Ganghong,Attempted Murder Victim,4,Linchpin (Part 2)
Sophia Turner,Killer,4,Linchpin (Part 2)
Martin Danberg,Killer,4,Linchpin (Part 2)
Amy Morgan,Victim,4,Once Upon a Crime
Kristina Curtis,Victim,4,Once Upon a Crime
Owen Thomas,Victim,4,Once Upon a Crime
Darren Thomas,Blackmailer,4,Once Upon a Crime
Charlotte Boyd,Killer,4,Once Upon a Crime
Graham Morton,Victim,4,A Dance With Death
Barbra Landau,Victim,4,A Dance With Death
Samuel Lynchberg,Killer,4,A Dance With Death
Odette Morton,Conspirator,4,A Dance With Death
Jesse Friedman,Victim,4,47 Seconds
Leann West,Killer,4,47 Seconds
Jesse Friedman,Conspirator,4,47 Seconds
Naomi Allen,Victim,4,The Limey
